Run	Num W	Num R	JSD	Same states
357	5	128	1.0	False
358	5	695	1.0	False
359	5	61	0.9999999999999998	False
360	5	796	1.0	False
361	5	231	1.0	False
362	5	367	0.9999999999999998	False
363	5	75	1.0	False
364	5	304	1.0	False
365	5	126	1.0	False
366	5	87	0.9999999999999998	False
367	5	111	1.0	False
368	5	408	1.0	False
369	5	150	1.0	False
370	5	55	0.9999999999999998	False
371	5	287	1.0	False
372	5	250	1.0	False
373	5	87	0.9999999999999998	False
374	5	167	0.9999999999999998	False
375	5	1014	0.9999999999999998	False
376	5	150	1.0	False
377	5	236	0.9999999999999998	False
378	5	216	1.0	False
379	5	154	1.0	False
380	5	160	1.0	False
381	5	80	1.0	False
382	5	95	1.0	False
383	5	130	1.0	False
384	5	874	1.0	False
385	5	601	1.0	False
386	5	59	1.0	False
387	5	537	1.0	False
388	5	12	0.9999999999999998	False
389	5	126	1.0	False
390	5	116	0.9999999999999998	False
391	5	454	1.0	False
392	5	75	0.9999999999999998	False
393	5	52	1.0	False
394	5	70	1.0	False
395	5	261	1.0	False
396	5	97	0.9999999999999998	False
397	5	239	1.0	False
398	5	145	1.0	False
399	5	496	1.0	False
400	5	63	0.9999999999999998	False
401	5	807	1.0	False
402	5	405	1.0	False
403	5	759	0.9999999999999998	False
404	5	153	1.0	False
405	5	43	1.0	False
406	5	182	1.0	False
407	5	1000	1.0	False
408	5	53	0.9999999999999998	False
409	5	214	0.9999999999999998	False
410	5	879	0.9999999999999998	False
411	5	38	0.9999999999999998	False
412	5	59	1.0	False
413	5	119	0.9999999999999998	False
414	5	59	1.0	False
415	5	125	1.0	False
416	5	79	1.0	False
417	5	33	1.0	False
418	5	118	1.0	False
419	5	62	0.9999999999999998	False
420	5	194	1.0	False
421	5	126	1.0	False
422	5	936	1.0	False
423	5	122	1.0	False
424	5	37	0.9999999999999998	False
425	5	117	1.0	False
426	5	122	0.9999999999999998	False
427	5	155	1.0	False
428	5	143	0.9999999999999998	False
429	5	144	1.0	False
430	5	1020	0.9999999999999998	False
431	5	160	1.0	False
432	5	120	0.9999999999999998	False
433	5	294	1.0	False
